District_Name,lat,lon
AHMEDNAGAR,19.08,74.73
AKOLA,20.73,77.0
AMRAVATI,20.93,77.75
AURANGABAD,19.88,75.33
BEED,18.99,75.76
BHANDARA,21.17,79.65
BULDHANA,18.98,72.83
CHANDRAPUR,19.95,79.3
DHULE,20.9,74.78
GADCHIROLI,19.25,73.15
GONDIA,21.45,80.2
HINGOLI,19.72,77.15
JALGAON,21.05,76.53
JALNA,19.83,75.88
KOLHAPUR,16.7,74.22
LATUR,18.4,76.58
MUMBAI,18.98,72.83
NAGPUR,21.15,79.1
NANDED,19.15,77.33
NANDURBAR,21.37,74.25
NASHIK,18.98,72.83
OSMANABAD,18.17,76.05
PALGHAR,19.68,72.75
PARBHANI,19.27,76.78
PUNE,18.53,73.87
RAIGAD,18.62,73.8
RATNAGIRI,16.98,73.3
SANGLI,16.87,74.57
SATARA,17.68,73.98
SINDHUDURG,18.62,73.8
SOLAPUR,17.68,75.92
THANE,19.2,72.97
WARDHA,20.75,78.62
WASHIM,20.1,77.15
YAVATMAL,20.4,78.13
